,ID,state_code,counts,state_name,latitude,longitude,data_value
0,1,CA,1201,California,37.638640123,-120.999999538,30.958333333333332
1,2,TX,811,Texas,31.827240407,-99.426770206,34.583333333333336
2,3,FL,621,Florida,28.932040377,-81.928960539,31.441666666666663
3,4,OH,522,Ohio,40.060210141,-82.404260056,34.14166666666667
4,5,GA,420,Georgia,32.839681093,-83.627580346,33.09166666666667
5,6,IL,405,Illinois,40.485010283,-88.997710178,32.275
6,7,PA,383,Pennsylvania,40.79373015200048,-77.86070029399963,33.55833333333333
7,8,MI,374,Michigan,44.661319543001,-84.71439027,34.625
8,9,NY,352,New York,42.82700103200045,-75.54397042699964,31.066666666666666
9,10,AZ,330,Arizona,34.86597028,-111.763811277,32.63333333333333
10,11,TN,302,Tennessee,35.68094058,-85.774490914,34.325
11,12,NC,295,North Carolina,35.466220975,-79.159250463,34.45
12,13,IN,254,Indiana,39.766910452,-86.149960194,34.25
13,14,VA,253,Virginia,37.542680674,-78.457890463,32.733333333333334
14,15,MA,205,Massachusetts,42.27687047,-72.082690675,29.400000000000002
15,16,LA,202,Louisiana,31.31266064400046,-92.44568007099969,35.166666666666664
16,17,MN,199,Minnesota,46.355648736,-94.794200503,32.208333333333336
17,18,WA,196,Washington,47.522278629,-120.47001079,31.349999999999998
18,19,WI,189,Wisconsin,44.393191174,-89.816370742,34.30833333333334
19,20,SC,188,South Carolina,33.998821303,-81.045371207,34.199999999999996
20,21,MD,172,Maryland,39.290580964,-76.609260111,32.74166666666667
21,22,KY,166,Kentucky,37.64597027100047,-84.77497104799966,35.59166666666666
22,23,OK,166,Oklahoma,35.472031356,-97.521070214,35.44166666666666
23,24,MO,163,Missouri,38.635790776,-92.566300053,33.6
24,25,OR,154,Oregon,44.567449424,-120.155031326,31.399999999999995
25,26,CO,148,Colorado,38.843840757,-106.133610921,29.05
27,28,NV,121,Nevada,39.49324039,-117.071840564,33.34166666666667
28,29,IA,115,Iowa,42.469400913,-93.816490556,33.80833333333333
29,30,AR,102,Arkansas,34.748650124,-92.274490743,35.041666666666664
30,31,NE,87,Nebraska,41.641040988001,-99.365720623,34.125
31,32,NM,78,New Mexico,34.520880952,-106.240580985,32.90833333333333
32,33,KS,74,Kansas,38.34774030000045,-98.20078122699964,34.78333333333333
33,34,WV,70,West Virginia,38.665510202,-80.712640135,35.25833333333333
34,35,UT,63,Utah,39.360700171,-111.587130635,32.0
35,36,MS,55,Mississippi,32.745510099,-89.538030825,36.15
36,37,CT,53,Connecticut,41.56266102,-72.649840952,32.333333333333336
37,38,ID,51,Idaho,43.682630005,-114.363730042,31.691666666666663
38,39,DE,44,Delaware,39.008830667000495,-75.57774116799965,33.88333333333333
39,40,SD,42,South Dakota,44.353130053,-100.373530637,35.074999999999996
40,41,MT,38,Montana,47.066528972,-109.424420645,31.825
41,42,ND,35,North Dakota,47.475319779,-100.118421049,35.075
42,43,NH,34,New Hampshire,43.655950113,-71.50036092,33.28333333333333
43,44,HI,32,Hawaii,21.304850435,-157.857749403,28.866666666666664
44,45,WY,29,Wyoming,43.235541343,-108.109830353,32.13333333333333
45,46,ME,25,Maine,45.254228894001,-68.985031336,31.858333333333334
46,47,AK,16,Alaska,64.845079957001,-147.722059036,33.00833333333333
47,48,VT,15,Vermont,43.625381239,-72.517640791,29.25
48,49,RI,15,Rhode Island,41.708280193,-71.522470314,31.8
49,50,AL,6,Alabama,32.840571122,-86.631860762,34.666666666666664
